event	time	e_time	u_time	magnitude	e_magnitude	band	upperlimit
SN1994I	49467.02		MJD	13.88		V	
SN1994I	49468.5		MJD	13.79		I	
SN1994I	49468.5		MJD	13.8		I	
SN1994I	49468.5		MJD	14.26		R	
SN1994I	49468.5		MJD	14.3		R	
SN1994I	49468.5		MJD	14.77		V	
SN1994I	49468.5		MJD	14.8		V	
SN1994I	49469.31		MJD	13.8100	0.0200	I	
SN1994I	49469.31		MJD	14.3900	0.0500	R	
SN1994I	49469.31		MJD	14.9500	0.0400	V	
SN1994I	49469.32		MJD	16.0000	0.3200	B	
SN1994I	49469.32		MJD	13.7600	0.0100	I	
SN1994I	49469.32		MJD	14.3600	0.0400	R	
SN1994I	49469.32		MJD	14.9000	0.0300	V	
SN1994I	49469.94		MJD	16.25		B	
SN1994I	49469.94		MJD	15.03		V	
SN1994I	49470.30		MJD	15.9700	0.3000	B	
SN1994I	49470.30		MJD	13.9600	0.0200	I	
SN1994I	49470.30		MJD	14.5000	0.0100	R	
SN1994I	49470.30		MJD	15.1100	0.0100	V	
SN1994I	49470.6		MJD	13.91		I	
SN1994I	49470.6		MJD	14		I	
SN1994I	49470.6		MJD	14.39		R	
SN1994I	49470.6		MJD	14.4		R	
SN1994I	49470.6		MJD	14.9		V	
SN1994I	49470.6		MJD	15		V	
SN1994I	49471.29		MJD	13.9600	0.0200	I	
SN1994I	49471.29		MJD	14.5800	0.0600	R	
SN1994I	49471.29		MJD	15.1200	0.0400	V	
SN1994I	49472.6		MJD	14		I	
SN1994I	49472.6		MJD	14.49		R	
SN1994I	49472.6		MJD	14.6		R	
SN1994I	49472.6		MJD	15.01		V	
SN1994I	49472.6		MJD	15.2		V	
SN1994I	49474.29		MJD	14.0900	0.0200	I	
SN1994I	49474.29		MJD	14.6900	0.0500	R	
SN1994I	49474.29		MJD	15.2700	0.0300	V	
SN1994I	49474.5		MJD	14		I	
SN1994I	49474.5		MJD	14.07		I	
SN1994I	49474.5		MJD	14.6		R	
SN1994I	49474.5		MJD	14.64		R	
SN1994I	49474.5		MJD	15.1		V	
SN1994I	49474.5		MJD	15.2		V	
SN1994I	49475.29		MJD	14.1000	0.0200	I	
SN1994I	49475.29		MJD	14.8100	0.1900	R	
SN1994I	49475.29		MJD	15.2600	0.1200	V	
SN1994I	49475.31		MJD	16.2800	0.1000	B	
SN1994I	49475.31		MJD	14.1300	0.0200	I	
SN1994I	49475.31		MJD	14.8000	0.0800	R	
SN1994I	49475.31		MJD	15.4500	0.0600	V	
SN1994I	49475.99		MJD	15.12		B	
SN1994I	49475.99		MJD	14.43		V	
SN1994I	49476.28		MJD	14.1600	0.0300	I	
SN1994I	49476.28		MJD	14.8600	0.1500	R	
SN1994I	49476.28		MJD	15.2600	0.1100	V	
SN1994I	49478.30		MJD	14.2700	0.0100	I	
SN1994I	49478.30		MJD	14.9000	0.0300	R	
SN1994I	49478.30		MJD	15.4300	0.0200	V	
SN1994I	49478.31		MJD	14.3000	0.0400	I	
SN1994I	49478.31		MJD	14.9900	0.0400	R	
SN1994I	49478.31		MJD	15.4600	0.0300	V	
SN1994I	49478.5		MJD	14.25		I	
SN1994I	49478.5		MJD	14.4		I	
SN1994I	49478.5		MJD	14.77		R	
SN1994I	49478.5		MJD	14.8		R	
SN1994I	49478.5		MJD	15.22		V	
SN1994I	49478.5		MJD	15.3		V	
SN1994I	49480.28		MJD	14.3300	0.0200	I	
SN1994I	49480.28		MJD	15.0300	0.0600	R	
SN1994I	49480.28		MJD	15.5500	0.0400	V	
SN1994I	49480.33		MJD	14.3200	0.0100	I	
SN1994I	49480.33		MJD	15.0400	0.2100	R	
SN1994I	49480.33		MJD	15.7100	0.1600	V	
SN1994I	49481.31		MJD	16.6100	0.0800	B	
SN1994I	49481.31		MJD	14.3700	0.0200	I	
SN1994I	49481.31		MJD	15.0300	0.0300	R	
SN1994I	49481.31		MJD	15.5600	0.0200	V	
SN1994I	49481.7		MJD	14.34		I	
SN1994I	49481.7		MJD	14.4		I	
SN1994I	49481.7		MJD	14.87		R	
SN1994I	49481.7		MJD	15.1		R	
SN1994I	49481.7		MJD	15.36		V	
SN1994I	49481.7		MJD	15.7		V	
SN1994I	49484.7		MJD	14.4		I	
SN1994I	49484.7		MJD	14.53		I	
SN1994I	49484.7		MJD	15.08		R	
SN1994I	49484.7		MJD	15.2		R	
SN1994I	49484.7		MJD	15.56		V	
SN1994I	49484.7		MJD	15.7		V	
SN1994I	49485.26		MJD	14.5500	0.0100	I	
SN1994I	49485.26		MJD	15.2700	0.1000	R	
SN1994I	49485.26		MJD	15.6900	0.0700	V	
SN1994I	49485.27		MJD	16.5600	0.1100	B	
SN1994I	49485.27		MJD	14.5100	0.0100	I	
SN1994I	49485.27		MJD	15.1800	0.0500	R	
SN1994I	49485.27		MJD	15.7100	0.0400	V	
SN1994I	49486.25		MJD	16.7600	0.0800	B	
SN1994I	49486.25		MJD	15.2100	0.0500	R	
SN1994I	49486.25		MJD	15.7000	0.0400	V	
SN1994I	49488.5		MJD	14.59		I	
SN1994I	49488.5		MJD	15.12		R	
SN1994I	49488.5		MJD	15.65		V	
SN1994I	49490.20		MJD	16.5800	0.1600	B	
SN1994I	49490.20		MJD	14.6200	0.0100	I	
SN1994I	49490.20		MJD	15.4100	0.0700	R	
SN1994I	49490.20		MJD	15.9000	0.0300	V	
SN1994I	49491.5		MJD	14.65		I	
SN1994I	49491.5		MJD	15.19		R	
SN1994I	49491.5		MJD	15.65		V	
SN1994I	49493.25		MJD	14.8000	0.0400	I	
SN1994I	49493.25		MJD	15.4600	0.1600	R	
SN1994I	49493.25		MJD	16.0500	0.1100	V	
SN1994I	49493.32		MJD	16.8800	0.0700	B	
SN1994I	49493.32		MJD	14.7400	0.0200	I	
SN1994I	49493.32		MJD	15.4500	0.0300	R	
SN1994I	49493.32		MJD	15.9400	0.0200	V	
SN1994I	49494.27		MJD	14.8100	0.0300	I	
SN1994I	49494.27		MJD	15.4800	0.1600	R	
SN1994I	49494.27		MJD	16.0000	0.1000	V	
SN1994I	49494.37		MJD	16.8600	0.0900	B	
SN1994I	49494.37		MJD	14.7400	0.0600	I	
SN1994I	49494.37		MJD	15.4900	0.0200	R	
SN1994I	49494.37		MJD	15.8900	0.0100	V	
SN1994I	49495.28		MJD	14.9100	0.0200	I	
SN1994I	49495.28		MJD	15.5000	0.2900	R	
SN1994I	49495.28		MJD	16.0300	0.2100	V	
SN1994I	49495.6		MJD	14.66		I	
SN1994I	49495.6		MJD	15.34		R	
SN1994I	49495.6		MJD	15.86		V	
SN1994I	49495.93		MJD	16.92		B	
SN1994I	49500.5		MJD	14.9		I	
SN1994I	49500.5		MJD	15.56		R	
SN1994I	49500.5		MJD	15.87		V	
SN1994I	49501.36		MJD	17.2100	0.1400	B	
SN1994I	49501.36		MJD	15.0000	0.0300	I	
SN1994I	49501.36		MJD	15.7300	0.0900	R	
SN1994I	49501.36		MJD	16.1800	0.0700	V	
SN1994I	49502.29		MJD	17.0600	0.0600	B	
SN1994I	49502.29		MJD	15.0400	0.0200	I	
SN1994I	49502.29		MJD	15.7500	0.0400	R	
SN1994I	49502.29		MJD	16.2400	0.0200	V	
SN1994I	49502.6		MJD	14.88		I	
SN1994I	49502.6		MJD	15.47		R	
SN1994I	49502.6		MJD	15.92		V	
SN1994I	49504.21		MJD	16.9300	0.1700	B	
SN1994I	49504.21		MJD	15.0800	0.0200	I	
SN1994I	49504.21		MJD	15.7400	0.0600	R	
SN1994I	49504.21		MJD	16.2100	0.0400	V	
SN1994I	49505.44		MJD	15.0500	0.0400	I	
SN1994I	49505.44		MJD	15.7800	0.1200	R	
SN1994I	49505.44		MJD	16.2600	0.0700	V	
SN1994I	49511.21		MJD	17.2100	0.1800	B	
SN1994I	49511.21		MJD	15.3000	0.0200	I	
SN1994I	49511.21		MJD	15.9900	0.0600	R	
SN1994I	49511.21		MJD	16.4800	0.0400	V	
SN1994I	49514.21		MJD	15.3700	0.0500	I	
SN1994I	49514.21		MJD	16.0400	0.0600	R	
SN1994I	49514.21		MJD	16.5800	0.0400	V	
